FID	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9
 HG00096	-0.0114616439255	0.0269505055053	0.0106567528186	0.0191890979520	0.0092722526419	0.0069119177394	0.0002743734143	0.0012982684746	0.0101638473554	-0.0734237954440
 HG00097	-0.0113540674592	0.0274531261935	0.0099875143898	0.0179584827566	0.0083043174153	0.0069481597511	0.0015774385587	-0.0006197136732	0.0097696051222	-0.0452894143076
 HG00099	-0.0115332166106	0.0273907970602	0.0109295390178	0.0174537020732	0.0130602556900	0.0091737679082	-0.0016528146813	0.0052821512035	0.0269730223394	-0.0611085645557
 HG00100	-0.0111745937274	0.0274639914659	0.0102605846623	0.0175214878303	0.0055099636764	0.0051483175521	-0.0011833537207	0.0018984054614	0.0292391790570	-0.0615017651457
 HG00101	-0.0113405641018	0.0269647715778	0.0112782782785	0.0184183543791	0.0105411470118	0.0074733378916	-0.0001510339654	0.0019018294372	0.0209984959550	-0.0535728299188
 HG00102	-0.0117474435725	0.0270135258626	0.0096947772998	0.0174596365021	0.0150566179111	0.0073696433792	-0.0007314881481	0.0032348218171	0.0195796193307	-0.0591875739603
 HG00103	-0.0116685569425	0.0270944576968	0.0106557439912	0.0191691176553	0.0088799491427	0.0068714724390	0.0004478562676	0.0013502094134	0.0228131036337	-0.0396625716457
 HG00105	-0.0113935798166	0.0271920854858	0.0110789615798	0.0175165576984	0.0073193210437	0.0065336057990	-0.0006876255068	0.0027699401006	0.0225796008614	-0.0342637365714
 HG00106	-0.0118539574866	0.0270909411406	0.0095310735788	0.0174616798401	0.0074840659254	0.0090854215913	0.0019369858411	0.0056248891246	0.0262971308987	-0.0452483826461
 HG00107	-0.0118302232871	0.0272149398278	0.0119921696141	0.0186441556945	0.0131044541668	0.0108258045885	-0.0022499816672	0.0002277541852	0.0191204944897	-0.0466112581310
 HG00108	-0.0112398046539	0.0270870604037	0.0110017962592	0.0187175711834	0.0104437152818	0.0117824235381	0.0001292234266	0.0009640507116	0.0167963007364	-0.0415278569799
 HG00109	-0.0113422050886	0.0272135578156	0.0105621373036	0.0198725726491	0.0076596558217	0.0066815355778	-0.0022258443153	0.0039477924431	0.0211100307850	-0.0515138290194
 HG00110	-0.0117355751096	0.0266696886430	0.0101384526442	0.0184811616320	0.0156028776384	0.0094698016117	0.0008711570941	0.0017503689804	0.0233097030676	-0.0546019451911
 HG00111	-0.0116483287978	0.0271392927681	0.0095896818560	0.0158803695435	0.0126536384812	0.0088304982425	-0.0008470142942	0.0020397377423	0.0160702558928	-0.0507619613239
 HG00112	-0.0116502576611	0.0269637574340	0.0095276991160	0.0177892591748	0.0090663923461	0.0086683416768	-0.0003673588772	-0.0005597590257	0.0120919832267	-0.0472305458291
 HG00113	-0.0114352928776	0.0272637983451	0.0103943929863	0.0181448640937	0.0070623807411	0.0064140563122	0.0003865544545	0.0038725259741	0.0185411379582	-0.0533988447512
 HG00114	-0.0113515172961	0.0272621393437	0.0113897305157	0.0192953027488	0.0118855922257	0.0058717674000	-0.0012928000549	0.0022038743508	0.0202135400390	-0.0708011329029
 HG00115	-0.0114911555112	0.0273837162822	0.0095449876881	0.0187469065901	0.0063375284671	0.0073294481983	0.0013667076604	0.0005256951994	0.0111532256963	-0.0354275931254
 HG00116	-0.0117677699037	0.0272179372497	0.0109243406280	0.0188954000248	0.0098803112342	0.0095813765615	0.0011378566309	0.0036158221316	0.0281251839315	-0.0617933719345
 HG00117	-0.0115948845490	0.0273161055650	0.0100621979678	0.0184292136969	0.0108363077234	0.0089296268482	-0.0000284511937	0.0012798387620	0.0140635062720	-0.0529783424405
 HG00118	-0.0115906047214	0.0271828790578	0.0109601565632	0.0166643694987	0.0081016457774	0.0068900000723	-0.0031605070762	0.0016089688355	0.0222934414319	-0.0484523178176
 HG00119	-0.0115928960864	0.0269925693897	0.0109114459906	0.0187364239740	0.0079565277951	0.0080132497163	-0.0004490362832	0.0008476018005	0.0164116529706	-0.0407383735906
 HG00120	-0.0114858059770	0.0275979421523	0.0107711396619	0.0197939180852	0.0142328689412	0.0096709107034	-0.0006654121105	0.0038768233620	0.0352378415646	-0.0748471750372
 HG00121	-0.0116769575358	0.0276383082959	0.0095896646638	0.0183654734193	0.0176383877054	0.0092541955633	-0.0001713954337	0.0022903658964	0.0118268531713	-0.0462772111860
 HG00122	-0.0116446697364	0.0269812233978	0.0117307193102	0.0180110266722	0.0092054768493	0.0078253140992	0.0003538625019	-0.0006895471578	0.0256400944356	-0.0359398871804
 HG00123	-0.0113740736851	0.0272307891597	0.0095868129572	0.0169035087954	0.0106434505523	0.0068000309508	-0.0009048543344	-0.0020412268537	0.0302713772264	-0.0461104263720
 HG00125	-0.0114540886478	0.0268442124282	0.0111748966843	0.0171272029922	0.0156250679823	0.0090713092916	0.0010134498509	0.0013154205226	0.0209708263331	-0.0495011851232
 HG00126	-0.0115364779060	0.0280006732030	0.0109012045299	0.0185633830845	0.0095168711236	0.0009200909785	-0.0001475048484	0.0050758458604	0.0122095387680	-0.0325143182176
 HG00127	-0.0116360592969	0.0275262720855	0.0097103040483	0.0182372533753	0.0041489046852	0.0058216555413	0.0022531181493	0.0032288819487	0.0185170374742	-0.0359230917067
 HG00128	-0.0112920729927	0.0279816512838	0.0093684675380	0.0191552934361	0.0058469670767	0.0078866250510	0.0001403908965	0.0010758004246	0.0166246756114	-0.0337701305836
 HG00129	-0.0115654168515	0.0275272343221	0.0108524033329	0.0174465726973	0.0151614470132	0.0076833809897	0.0000122870240	0.0014660155080	0.0104117815769	-0.0339227746589
 HG00130	-0.0110127341233	0.0275328645696	0.0094225647312	0.0197319488280	0.0037814358572	-0.0006116913891	0.0001495240247	0.0004576768731	-0.0006664373248	-0.0396855041726
 HG00131	-0.0113507657454	0.0273428713403	0.0094633245538	0.0184738085360	0.0086737986138	0.0082217612718	0.0004166908189	0.0001615059336	0.0102450888243	-0.0354641622764
 HG00132	-0.0115544433853	0.0279532826311	0.0094954519589	0.0199224779040	0.0056918747991	0.0001805718010	0.0006085663893	0.0033741705625	0.0193060967292	-0.0346419162925
 HG00133	-0.0113589200079	0.0275485336873	0.0100846432687	0.0186593314578	0.0029371645891	0.0060181234275	0.0016328605373	0.0038754884129	0.0138493511795	-0.0384102135022
 HG00136	-0.0116337107430	0.0270213436106	0.0106185064571	0.0183051879192	0.0097001229070	0.0076208855110	-0.0030689695339	-0.0006394103063	0.0186215993922	-0.0242677244708
